,"Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)"
,"2016","2016","2016","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Country","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Cuba","13.9","22.1","5.8","13.7","21.8","5.6","14.4","22.7","6.1","13.0","19.4","6.5","17.4","24.7","10.0"
"Cyprus","5.3","8.2","2.3","4.9","7.3","2.5","5.7","8.7","2.7","2.6","3.7","1.5","2.2","2.8","1.6"
"Czechia","13.1","21.4","5.1","13.7","22.6","5.0","15.4","26.0","5.2","16.5","27.6","6.0","17.0","27.5","7.0"
"Democratic People's Republic of Korea","11.2","14.1","8.5","11.4","14.3","8.7","11.9","14.6","9.3","10.9","13.0","8.9","10.0","12.3","7.9"
"Democratic Republic of the Congo","5.7","8.4","2.9","5.6","8.3","2.9","5.5","8.2","2.9","6.1","8.9","3.4","6.6","9.4","3.8"
"Denmark","12.8","17.3","8.2","11.9","15.5","8.4","12.7","16.8","8.7","16.2","21.0","11.4","16.0","22.9","9.4"
"Djibouti","6.7","9.0","4.3","6.4","8.6","4.1","5.2","6.8","3.5","5.9","7.5","4.3","5.8","7.3","4.3"
"Dominican Republic","9.9","16.8","3.1","9.7","16.2","3.1","8.0","13.1","3.0","8.2","13.3","3.2","9.1","15.0","3.2"
"Ecuador","7.1","10.3","3.9","9.6","14.3","4.9","8.5","12.3","4.8","8.9","12.7","5.1","6.1","8.4","3.7"
"Egypt","4.0","6.4","1.5","3.8","6.0","1.5","3.6","5.7","1.5","3.4","5.3","1.5","3.3","5.2","1.3"
"El Salvador","13.7","24.2","4.5","14.0","24.5","4.6","10.8","18.1","4.2","9.9","15.8","4.6","13.4","20.9","6.4"
"Equatorial Guinea","16.4","23.5","7.7","16.5","23.8","7.6","16.7","24.9","7.0","13.7","20.4","6.1","15.5","24.4","6.0"
"Eritrea","7.9","12.3","3.6","8.1","12.5","3.7","9.0","13.8","4.1","10.4","15.4","5.5","11.6","16.5","6.7"
"Estonia","17.8","30.6","6.6","15.8","27.6","5.3","18.3","31.7","6.6","22.5","39.0","8.3","29.5","48.7","12.7"
"Eswatini","13.3","19.5","7.5","13.1","19.3","7.2","11.9","18.2","6.0","12.0","18.9","5.6","11.6","17.5","6.1"
"Ethiopia","7.2","11.2","3.1","7.2","11.2","3.2","7.3","11.3","3.3","7.9","12.1","3.7","8.0","12.2","3.9"
"Fiji","5.0","7.5","2.4","5.0","7.5","2.4","4.8","7.2","2.4","3.5","4.5","2.4","4.3","5.6","2.9"
"Finland","15.9","23.9","8.1","14.4","21.8","7.2","18.9","28.4","9.8","20.4","29.6","11.5","24.6","36.8","12.9"
"France","17.7","23.9","11.7","18.0","24.4","11.8","20.2","27.7","13.0","21.1","29.0","13.5","22.3","30.5","14.4"
"Gabon","7.1","10.7","3.2","7.3","11.1","3.3","6.9","10.5","3.1","6.1","9.2","3.1","6.7","10.0","3.5"
"Gambia","5.1","6.6","3.7","5.2","6.7","3.8","5.1","6.7","3.6","5.7","7.1","4.3","6.6","8.1","5.2"
"Georgia","8.2","14.2","2.7","8.1","14.0","2.7","6.9","11.8","2.3","5.0","8.2","2.0","6.0","10.2","2.3"
"Germany","13.6","19.7","7.7","13.8","19.9","7.8","13.7","20.6","7.0","13.6","20.4","7.2","14.7","22.1","7.7"
"Ghana","5.4","8.7","2.1","5.3","8.5","2.1","4.7","7.5","2.1","4.3","6.7","1.9","4.0","6.1","1.9"
"Greece","5.0","8.1","2.0","4.8","7.8","1.9","3.3","6.0","0.7","3.5","5.7","1.4","3.4","5.4","1.5"
"Grenada","1.7","1.5","1.9","1.1","1.0","1.1","0.9","1.8","0.0","2.7","4.9","0.6","1.9","2.7","1.1"
"Guatemala","2.7","3.7","1.8","3.1","4.3","1.9","2.9","4.3","1.5","3.2","4.6","1.8","3.2","4.9","1.6"
"Guinea","6.3","7.5","5.0","6.4","7.6","5.2","6.6","8.1","5.1","6.8","8.3","5.4","6.3","7.2","5.4"
"Guinea-Bissau","4.0","4.7","3.3","3.9","4.6","3.3","4.2","4.9","3.4","4.4","5.0","3.9","5.0","5.7","4.4"
"Guyana","29.2","43.7","14.4","29.1","43.4","14.5","26.8","39.9","13.6","24.4","35.9","12.8","23.4","34.6","12.3"
"Haiti","11.7","17.0","6.5","11.7","17.0","6.5","10.2","14.8","5.7","9.5","14.1","5.0","8.7","13.1","4.4"
"Honduras","2.9","4.4","1.5","2.8","4.2","1.5","2.5","3.6","1.3","2.5","3.6","1.4","2.3","3.4","1.3"
"Hungary","19.1","29.7","9.6","20.3","31.6","10.1","26.0","42.1","11.4","26.7","43.1","11.8","32.5","51.5","15.3"
"Iceland","14.0","22.3","5.6","14.0","22.3","5.7","13.3","20.5","6.0","12.2","15.9","8.5","16.2","25.5","6.9"
"India","16.3","17.8","14.7","16.5","18.0","14.9","16.5","17.7","15.2","17.6","18.1","17.1","17.4","18.6","16.0"
"Indonesia","3.4","4.8","2.0","3.4","4.8","2.0","3.6","5.1","2.2","3.8","5.3","2.3","3.9","5.3","2.5"
"Iran (Islamic Republic of)","4.1","5.0","3.1","4.0","5.0","3.0","6.6","8.7","4.4","10.7","13.1","8.2","10.7","12.0","9.3"
"Iraq","3.0","3.4","2.6","3.1","3.5","2.6","2.8","3.3","2.2","2.5","3.1","1.9","2.7","3.4","1.9"
"Ireland","11.5","18.5","4.6","11.5","18.5","4.5","12.0","18.5","5.6","11.9","18.8","4.9","12.4","20.2","4.8"
"Israel","5.4","8.1","2.7","5.0","7.6","2.4","7.3","12.0","2.7","7.6","11.0","4.2","7.5","11.8","3.3"
"Italy","8.2","12.1","4.5","8.0","11.8","4.5","7.5","11.4","3.8","7.0","10.3","3.9","7.8","11.7","4.1"
"Jamaica","2.2","3.3","1.0","2.1","3.3","1.0","2.0","3.1","0.9","1.9","3.0","0.8","2.3","3.8","0.8"
"Japan","18.5","26.0","11.4","19.4","27.4","11.8","24.4","35.1","14.1","24.9","36.8","13.6","24.7","35.8","13.9"
"Jordan","2.9","3.6","2.2","2.9","3.6","2.2","2.8","3.5","2.1","3.1","3.8","2.3","3.4","4.2","2.6"
"Kazakhstan","22.5","38.3","7.6","24.9","42.5","8.4","32.7","55.7","11.2","39.4","68.4","12.4","34.0","59.5","10.4"
"Kenya","3.2","5.1","1.2","3.1","5.0","1.2","3.1","5.0","1.2","3.9","6.2","1.6","4.4","7.0","1.9"
"Kiribati","14.4","24.1","5.0","14.5","24.2","5.0","14.5","24.0","5.4","13.9","22.4","5.7","13.7","21.9","5.8"
"Kuwait","2.3","2.8","1.7","2.3","2.8","1.8","1.9","2.2","1.5","2.3","2.9","1.5","2.0","2.1","1.8"
"Kyrgyzstan","8.3","13.2","3.5","8.1","12.9","3.3","11.3","18.5","4.3","10.9","18.1","3.9","12.6","20.7","4.7"
"Lao People's Democratic Republic","8.6","11.4","5.7","8.5","11.3","5.7","8.9","11.7","6.1","9.4","12.3","6.6","10.1","13.3","7.0"
"Latvia","21.2","37.6","7.3","21.6","37.4","8.2","22.7","42.3","6.0","26.7","46.2","10.2","34.7","60.4","12.9"
"Lebanon","3.3","4.2","2.4","3.3","4.2","2.4","3.2","3.9","2.5","3.1","3.9","2.3","3.0","4.0","2.1"
"Lesotho","21.2","17.8","24.4","21.0","17.6","24.1","20.1","16.8","23.2","18.6","15.4","21.5","18.0","14.6","21.2"
"Liberia","6.8","7.1","6.6","6.5","6.7","6.3","6.5","6.8","6.1","6.8","7.1","6.6","5.7","6.6","4.7"
"Libya","5.2","8.1","2.2","4.2","6.3","2.0","5.4","8.3","2.4","5.6","8.3","2.7","5.3","7.7","2.7"
"Lithuania","31.9","58.1","9.5","34.9","61.7","11.9","37.3","66.1","12.8","43.9","77.6","14.7","50.7","87.2","18.7"
"Luxembourg","13.5","18.6","8.3","14.7","21.4","7.9","12.9","18.2","7.7","14.3","21.7","7.1","16.8","23.4","10.3"
"Madagascar","3.9","5.6","2.2","4.0","5.7","2.2","4.3","6.2","2.5","4.5","6.4","2.7","4.7","6.5","2.8"
"Malawi","3.7","5.8","1.6","3.6","5.7","1.6","3.8","6.1","1.6","4.5","7.2","1.8","6.2","10.2","2.4"
"Malaysia","5.5","7.8","3.2","5.4","7.6","3.1","5.1","7.3","2.8","5.4","7.7","2.9","5.3","7.5","3.1"
"Maldives","2.3","3.0","1.3","2.6","3.5","1.5","3.2","4.1","2.0","3.3","4.3","2.1","4.4","5.4","3.4"
"Mali","4.8","6.9","2.7","4.8","6.9","2.7","4.8","7.0","2.7","4.9","7.2","2.7","5.5","7.8","3.2"
"Malta","7.5","12.1","2.8","8.0","12.6","3.3","8.0","13.6","2.5","5.6","8.1","3.1","6.5","10.0","3.0"
"Mauritania","4.4","6.6","2.2","4.3","6.4","2.1","3.9","5.8","1.9","3.5","5.3","1.7","3.4","5.1","1.7"
"Mauritius","7.8","13.3","2.4","8.5","12.8","4.2","8.1","12.7","3.6","8.8","13.7","3.9","11.1","17.6","4.7"
"Mexico","5.1","8.0","2.3","5.6","8.8","2.4","4.6","7.4","1.9","4.3","7.1","1.5","3.6","6.1","1.1"
"Micronesia (Federated States of)","11.1","15.8","6.3","11.4","16.1","6.5","11.1","15.3","6.7","11.9","16.2","7.6","10.8","14.0","7.5"
"Mongolia","13.0","22.6","3.5","13.1","22.8","3.7","16.6","28.5","4.9","17.1","28.3","6.0","17.9","28.2","7.6"
"Montenegro","10.3","15.4","5.3","10.0","14.9","5.2","10.4","15.2","5.7","11.4","16.4","6.6","10.4","14.3","6.7"
"Morocco","2.9","2.3","3.4","2.9","2.3","3.6","3.7","2.7","4.7","5.3","4.2","6.3","6.9","5.8","8.1"
"Mozambique","4.9","7.4","2.5","4.9","7.4","2.6","5.6","8.2","3.0","6.7","9.8","3.8","8.8","13.2","4.8"
"Myanmar","7.8","5.9","9.5","7.6","5.8","9.3","7.3","5.6","8.9","7.7","5.4","9.9","7.3","4.2","10.2"
"Namibia","8.7","14.1","3.6","9.0","14.5","3.8","10.4","16.9","4.3","10.4","16.9","4.2","10.9","17.8","4.3"
"Nepal","8.8","9.7","7.9","9.1","10.0","8.3","10.5","10.7","10.2","12.5","13.0","12.0","15.4","16.8","14.0"
"Netherlands","12.6","16.2","9.0","12.5","16.0","9.0","10.0","14.0","6.0","9.9","13.5","6.4","9.8","13.1","6.5"
"New Zealand","12.1","17.9","6.6","12.1","17.9","6.6","13.0","18.6","7.5","13.3","19.7","7.1","12.9","21.2","5.0"
"Nicaragua","12.2","19.3","5.3","12.2","19.3","5.4","12.5","19.3","5.9","14.4","21.8","7.1","17.2","26.2","8.4"
"Niger","4.6","5.9","3.3","4.7","6.0","3.3","4.9","6.1","3.6","4.9","6.1","3.7","4.6","5.6","3.5"
"Nigeria","9.5","9.9","9.2","9.6","9.7","9.5","10.0","9.0","10.9","9.6","9.2","10.1","10.2","9.3","11.0"
"Norway","12.2","15.9","8.4","12.4","15.6","9.1","12.6","16.5","8.6","12.7","16.5","8.9","13.3","19.5","7.1"
"Oman","3.9","5.6","0.8","4.1","5.9","0.8","3.7","5.5","0.8","3.4","5.3","0.9","4.3","6.6","1.2"
"Pakistan","2.9","2.7","3.0","2.9","2.8","3.1","3.1","2.8","3.4","3.5","3.0","4.1","3.4","2.9","4.0"
"Panama","4.3","7.4","1.2","3.9","6.5","1.3","5.1","8.6","1.5","6.3","10.7","1.8","6.0","10.4","1.6"
"Papua New Guinea","6.0","8.6","3.3","6.0","8.5","3.4","5.4","7.6","3.2","5.8","8.1","3.4","7.1","9.8","4.3"
"Paraguay","9.5","12.4","6.5","9.9","13.0","6.6","9.3","12.2","6.3","10.1","13.3","6.8","10.1","13.9","6.3"
"Peru","4.9","7.2","2.7","4.9","7.2","2.7","4.6","6.7","2.5","4.6","6.6","2.6","5.1","7.3","2.9"
"Philippines","3.2","4.3","2.0","3.2","4.5","2.0","3.3","4.7","1.9","2.6","3.7","1.5","2.5","3.5","1.6"
"Poland","16.2","28.9","4.3","15.8","28.4","4.1","18.6","33.4","4.8","17.7","31.1","5.2","16.9","29.0","5.5"
"Portugal","14.0","22.2","6.5","13.8","22.0","6.4","13.5","21.1","6.6","11.1","17.4","5.2","7.5","12.2","3.0"
"Qatar","6.6","8.5","0.9","6.5","8.3","0.9","6.1","7.7","0.9","3.2","4.4","0.8","3.4","4.7","1.1"
"Republic of Korea","26.9","38.4","15.4","28.3","39.9","16.5","34.1","45.1","23.1","26.8","35.7","17.8","14.8","20.3","9.3"
"Republic of Moldova","15.9","27.9","4.7","16.4","28.5","5.2","20.9","37.0","5.9","19.2","33.8","5.8","16.4","29.4","4.5"
"Romania","10.4","17.9","3.3","11.6","20.3","3.5","14.0","23.9","4.8","12.5","20.9","4.4","13.2","22.1","4.8"
"Russian Federation","31.0","55.9","9.4","32.1","57.8","9.9","40.0","71.7","12.5","51.6","92.5","16.0","52.6","93.5","16.5"
"Rwanda","6.7","9.7","3.8","6.8","9.7","3.9","7.5","10.7","4.5","10.9","14.0","7.9","15.6","19.0","12.4"
"Saint Lucia","7.8","13.5","2.2","7.8","13.6","2.2","6.1","10.8","1.6","3.0","6.1","0.0","6.4","10.9","2.1"
"Saint Vincent and the Grenadines","2.4","3.9","0.9","2.7","4.4","1.0","3.3","6.0","0.6","9.9","16.7","2.9","6.3","11.5","0.9"
"Samoa","4.4","6.7","1.9","4.5","6.8","1.9","5.0","7.8","2.1","6.5","10.0","2.7","8.3","12.6","3.6"
"Sao Tome and Principe","2.3","3.0","1.6","2.3","3.0","1.5","2.0","2.7","1.4","1.8","2.4","1.2","2.0","2.7","1.3"
"Saudi Arabia","3.2","4.5","1.5","3.2","4.4","1.5","3.4","5.0","1.4","3.0","4.4","1.2","2.8","4.2","1.1"
"Senegal","6.0","9.3","2.9","6.2","9.6","3.0","6.9","10.4","3.6","8.1","12.0","4.3","7.7","11.4","4.1"
"Serbia","15.6","23.5","8.1","15.0","22.3","8.1","15.9","23.9","8.2","18.8","26.8","11.2","21.0","29.8","12.5"
"Seychelles","9.3","16.4","2.4","9.4","16.5","2.5","9.4","15.9","2.5","9.1","15.8","2.5","8.7","15.0","2.5"
"Sierra Leone","9.7","11.3","8.1","9.3","10.8","7.9","9.2","10.8","7.7","10.4","12.7","8.2","11.1","13.2","9.1"
"Singapore","9.9","13.8","6.1","9.0","12.1","6.1","10.0","13.0","7.0","11.6","15.7","7.6","12.4","16.2","8.7"
"Slovakia","12.8","22.7","3.5","12.8","22.6","3.5","13.9","24.4","3.9","13.8","24.3","3.9","14.4","24.2","5.1"
"Slovenia","18.6","30.4","6.9","21.0","33.3","8.9","20.7","34.0","7.6","27.1","42.9","12.0","32.4","48.0","17.6"
"Solomon Islands","4.7","6.8","2.6","4.9","7.0","2.7","5.8","8.0","3.4","7.6","10.3","4.8","11.2","14.5","7.7"
"Somalia","4.7","6.3","3.1","4.7","6.3","3.1","4.3","5.7","2.9","4.8","6.5","3.2","4.7","6.2","3.2"
"South Africa","11.6","18.7","4.7","11.8","19.0","4.8","12.2","19.2","5.4","11.8","18.2","5.6","11.6","17.7","5.7"
"South Sudan","3.7","4.9","2.6","3.7","4.7","2.6","4.1","5.4","2.8","4.6","6.1","3.1","4.8","6.3","3.2"
"Spain","8.7","13.1","4.5","8.1","12.0","4.3","7.0","10.9","3.2","8.1","12.2","4.2","8.6","13.1","4.3"
"Sri Lanka","14.6","23.5","6.4","14.8","24.0","6.2","19.1","30.4","8.3","23.1","37.0","9.6","28.8","44.5","13.2"
"Sudan","8.1","12.2","4.0","8.0","12.1","4.0","8.0","11.9","4.0","8.4","12.7","4.1","7.9","12.0","3.8"
"Suriname","22.8","34.7","10.9","23.8","36.3","11.3","27.0","40.9","13.0","26.5","42.1","10.7","23.5","36.4","10.4"
"Sweden","14.8","19.1","10.5","15.7","20.9","10.5","15.3","21.0","9.5","16.4","21.6","11.2","15.6","20.5","10.8"
"Switzerland","17.2","22.0","12.4","17.1","22.0","12.3","16.2","21.1","11.4","20.8","27.0","14.8","21.8","29.7","14.2"
"Syrian Arab Republic","1.9","2.9","0.9","1.9","2.9","0.9","1.9","3.0","0.8","1.6","2.5","0.6","1.3","2.1","0.6"
"Tajikistan","2.5","3.7","1.3","2.5","3.7","1.3","2.5","3.6","1.3","2.9","4.2","1.6","3.0","4.3","1.6"
"Thailand","14.4","23.4","5.9","14.6","23.6","5.9","14.3","22.6","6.4","12.7","19.4","6.2","16.2","24.2","8.4"
"Republic of North Macedonia","7.9","11.9","3.9","7.8","11.7","3.9","5.9","8.4","3.4","7.2","10.4","4.0","7.7","10.7","4.6"
"Timor-Leste","4.6","6.2","2.9","4.6","6.2","2.9","5.3","7.3","3.3","6.2","8.3","4.0","9.3","12.7","5.9"
"Togo","9.6","12.8","6.4","9.4","12.5","6.2","9.5","12.9","6.2","9.9","13.3","6.6","9.6","12.8","6.5"
"Tonga","3.5","4.3","2.7","3.5","4.2","2.7","3.6","4.3","2.8","3.4","4.0","2.9","3.6","3.9","3.3"
"Trinidad and Tobago","13.6","23.0","4.5","13.6","22.9","4.5","14.5","23.6","5.6","12.3","19.4","5.4","14.9","23.3","6.5"
"Tunisia","3.4","4.4","2.3","3.4","4.5","2.3","3.6","5.0","2.3","3.6","5.1","2.2","3.5","4.9","2.1"
"Turkey","7.3","11.4","3.3","7.3","11.4","3.4","8.4","13.1","3.8","7.6","12.2","3.2","7.2","11.5","2.9"
"Turkmenistan","6.7","10.1","3.5","7.2","10.8","3.6","7.6","11.7","3.7","11.7","18.8","4.8","9.1","14.6","3.7"
"Uganda","9.9","10.7","9.1","9.9","10.6","9.3","10.5","10.6","10.4","10.5","10.6","10.4","11.1","11.0","11.3"
"Ukraine","22.4","41.1","6.3","23.1","42.0","6.8","27.1","48.9","8.4","34.5","62.0","10.7","36.9","65.1","12.3"
"United Arab Emirates","2.8","3.6","0.7","2.8","3.6","0.7","3.0","3.8","0.7","3.1","4.1","1.0","3.2","4.2","1.1"
"United Kingdom of Great Britain and Northern Ireland","8.9","13.5","4.4","8.7","13.1","4.5","7.8","11.9","3.9","8.2","12.0","4.5","9.1","13.7","4.8"
"United Republic of Tanzania","5.4","7.7","3.2","5.4","7.6","3.2","5.3","7.5","3.1","5.5","7.9","3.2","6.9","10.0","3.8"
"United States of America","15.3","23.6","7.2","15.0","23.0","7.1","13.2","20.7","5.9","11.9","18.6","5.4","11.3","17.9","4.9"
"Uruguay","18.4","29.2","8.3","19.4","31.4","8.2","16.6","26.3","7.5","15.3","24.2","7.0","17.4","29.4","6.1"
"Uzbekistan","7.4","9.9","4.8","7.4","10.0","4.8","6.0","8.3","3.6","5.8","8.9","2.8","7.6","11.3","4.0"
"Vanuatu","4.5","6.6","2.2","4.5","6.8","2.3","5.1","7.5","2.6","5.7","8.3","3.0","7.3","10.2","4.3"
"Venezuela (Bolivarian Republic of)","3.7","6.3","1.1","3.8","6.4","1.2","4.3","7.2","1.5","5.9","9.7","2.1","8.0","13.8","2.2"
"Viet Nam","7.3","10.9","3.7","7.2","10.8","3.7","7.0","10.5","3.6","6.7","10.1","3.5","6.7","10.0","3.6"
"Yemen","8.5","11.3","5.6","8.6","11.4","5.7","8.8","11.8","5.7","8.1","11.0","5.1","6.8","9.2","4.2"
"Zambia","6.1","8.8","3.5","6.1","8.7","3.5","6.3","9.0","3.6","6.5","9.3","3.8","8.1","11.8","4.6"
"Zimbabwe","10.7","15.7","6.0","10.6","15.5","6.0","11.9","18.1","6.1","13.9","21.7","6.4","12.9","20.6","5.5"
